hate_category_1,hate_category_2,explanation,english,Amharic,afaan_oromo,Tigregna,otherspellings
,,"According to CIR workshop participants, labelling a woman “maid” diminishes her to a servile role and is often used to demean women of lower socio-economic status or to imply lesser social worth. For example, CIR & TikTok workshop participants noted how ""intala maadaamii"" means ""servant or maid"" while ""gardaammee"" can mean ""house maid"". These words are used for women.",,,gardaammee,,
Gender,,"According to CIR workshop participants, labelling a woman “maid” diminishes her to a servile role and is often used to demean women of lower socio-economic status or to imply lesser social worth. For example, CIR & TikTok workshop participants noted how ""intala maadaamii"" means ""servant or maid"" while ""gardaammee"" can mean ""house maid"". These words are used for women.",,,Hojjettuu manaa,,
,,"According to CIR and TikTok workshop participants, this phrase is used to shame someone for wearing make up.",make up,ሜካፓም,,,
Gender,,"According to CIR and TikTok workshop participants, the phrase “make me a sandwich” is a sarcastic gendered put-down used to trivialise women’s contributions and reinforce a patronising assumption that domestic service is their primary function.",Make me a sandwich,ሳንዱች ስሪልኝ,,ሳንዱች ስርሕለይ,
Gender,,"According to CIR and TikTok workshop participants, the phrase “make me a sandwich” is a sarcastic gendered put-down used to trivialise women’s contributions and reinforce a patronising assumption that domestic service is their primary function.",go make me a sandwich,ሂጂ ሳንዱች ስሪልኝ,,,
Gender,,"According to CIR and TikTok workshop participants, the phrase “make me a sandwich” is a sarcastic gendered put-down used to trivialise women’s contributions and reinforce a patronising assumption that domestic service is their primary function.",you belong in the kitchen,ወደ ማጀትሽ ተመለሽ,,,
,,"According to CIR and TikTok workshop participants, the phrase “make me a sandwich” is a sarcastic gendered put-down used to trivialise women’s contributions and reinforce a patronising assumption that domestic service is their primary function.",makehercook,ወደ ኩሽና ላካት,,,
Gender,,"According to CIR and TikTok workshop participants, the phrase “make me a sandwich” is a sarcastic gendered put-down used to trivialise women’s contributions and reinforce a patronising assumption that domestic service is their primary function.",women are only good for kitchen or bed,ሴቶች የሚሆኑንት ለኩሽና ወይ ለአልጋ ነው,,,
Gender,,"According to CIR and TikTok workshop participants, the phrase “make me a sandwich” is a sarcastic gendered put-down used to trivialise women’s contributions and reinforce a patronising assumption that domestic service is their primary function.",Mannerless,ልቅ,guddis-badii,,luuxii
Gender,,"According to CIR and TikTok workshop participants, the phrase “make me a sandwich” is a sarcastic gendered put-down used to trivialise women’s contributions and reinforce a patronising assumption that domestic service is their primary function.",ill mannered,አይን አውጣ,,,
Gender,,"According to CIR workshop participants, “man-hater” is used to delegitimise women’s critiques of patriarchy or gender inequality, portraying them as irrationally hostile to men.",man-hater,ወንድ ጠሊታ,kan dhiira jibbitu,ወዲ ትፀልእ,
Gender,,"According to CIR workshop participants, “man-hater” is used to delegitimise women’s critiques of patriarchy or gender inequality, portraying them as irrationally hostile to men.",men-hater,,Qoollifattuu,ጸላኢ ወዲ,
Gender,,"According to CIR workshop participants, “man-hater” is used to delegitimise women’s critiques of patriarchy or gender inequality, portraying them as irrationally hostile to men.",man-hating,,Nadhoo dhiira seexxaatu,,
Gender,,"According to CIR workshop participants, “man-hater” is used to delegitimise women’s critiques of patriarchy or gender inequality, portraying them as irrationally hostile to men.",,,Qofa Galeettii,,
Gender,,"According to CIR workshop participants, “man-hater” is used to delegitimise women’s critiques of patriarchy or gender inequality, portraying them as irrationally hostile to men.",,,Farra Dhiiraa,,
Gender,,"According to CIR workshop participants, “menopausal” is often weaponised to dismiss or ridicule women’s behaviour, framing natural biological changes as evidence of irrationality, moodiness, or diminished competence.",menopausal,ያረጥሽ,Qoorfattuu,ዘይትወልድ፣ ,
Gender,,"According to CIR workshop participants, “menopausal” is often weaponised to dismiss or ridicule women’s behaviour, framing natural biological changes as evidence of irrationality, moodiness, or diminished competence.",,,Gadameessa qoore,ምወላድ ዘቋረጸት,
Gender,,"According to CIR workshop participants, “menopausal” is often weaponised to dismiss or ridicule women’s behaviour, framing natural biological changes as evidence of irrationality, moodiness, or diminished competence.",,,Dullattii,,
Gender,,"According to CIR workshop participants, “menopausal” is often weaponised to dismiss or ridicule women’s behaviour, framing natural biological changes as evidence of irrationality, moodiness, or diminished competence.",,,Dubartii Biwila fixatte,,
Gender,,"According to CIR workshop participants, “menopausal” is often weaponised to dismiss or ridicule women’s behaviour, framing natural biological changes as evidence of irrationality, moodiness, or diminished competence.",,,Jaartii,,
Gender,,"According to CIR workshop participants, references to menstruation are used to shame women, portraying them as weak, emotional, or incapable of leadership because of normal biological processes.",menstrual,ፔሬዳም,Haadha Laguu,ፔሬዳም,
Gender,,"According to CIR workshop participants, references to menstruation are used to shame women, portraying them as weak, emotional, or incapable of leadership because of normal biological processes.",,,Dhiigduu,,
Gender,,"According to CIR workshop participants, references to menstruation are used to shame women, portraying them as weak, emotional, or incapable of leadership because of normal biological processes.",,,Dhimmistuu,,
Gender,,"According to CIR workshop participants, references to menstruation are used to shame women, portraying them as weak, emotional, or incapable of leadership because of normal biological processes.",,,Kan dhiigi irraa hin qoorre,,
Gender,,"According to CIR workshop participants, “misandrist” labels women who critique male privilege as hating men, mirroring the tactic of “man-hater” and seeking to silence feminist voices.",misandrist,ወንድ ጠል,Dubartii Dhiira jibbitu,ጽልኢ ተባዕታይ ዘለዋ,
Gender,,"According to CIR workshop participants, “mistress” is used to shame women involved in extramarital relationships, implying moral failings and reducing women’s identity to sexual behaviour.",mistress,ውሽማ ,Sanyoo,ወሽማ,Dubartoota dhiirota ispoortiin beekamtii argatanii
Gender,,"According to CIR workshop participants, “mistress” is used to shame women involved in extramarital relationships, implying moral failings and reducing women’s identity to sexual behaviour.",concubine,ቅምጥ,Jaaltoo,ወሽማ,
Gender,,"According to CIR workshop participants, “mistress” is used to shame women involved in extramarital relationships, implying moral failings and reducing women’s identity to sexual behaviour.",side chick,,ushummaa,ካልአይ ሰበይቲ,
Gender,,"According to CIR workshop participants, “modest” is often used prescriptively to police women’s appearance or behaviour, rewarding compliance and shaming those who express themselves freely.",modest,ልዝብ,Qaruuxee,ልዙብ,
Gender,,"According to CIR workshop participants, “modest” is often used prescriptively to police women’s appearance or behaviour, rewarding compliance and shaming those who express themselves freely.",,,Abshaala,ምቕሉል,
Gender,,"According to CIR workshop participants, “modest” is often used prescriptively to police women’s appearance or behaviour, rewarding compliance and shaming those who express themselves freely.",,,Hunda Beettu,,
Gender,,"According to CIR workshop participants, calling a woman “moody” trivialises her feelings, framing legitimate emotion as irrational or unpredictable.",moody,አስቸጋሪ ባህርይ ያላት,Bashaasha,ዘይምቹ,
Gender,,"According to CIR workshop participants, calling a woman “moody” trivialises her feelings, framing legitimate emotion as irrational or unpredictable.",,ተለዋዋጭ ባህርይ ያላት,Kachachaltuu,,
Gender,,"According to CIR workshop participants, calling a woman “moody” trivialises her feelings, framing legitimate emotion as irrational or unpredictable.",,የማትመች,Akka Feetee,,
Gender,,"According to CIR workshop participants, “motherfucker” is used as an aggressive insult often targeting  men or women. The term itself is inherently gendered. ",motherfucker,እናቷን በጂ,Haadha raawu,ትወገር አዴኻ,
Gender,,"According to CIR workshop participants, “motherfucker” is used as an aggressive insult often targeting  men or women. The term itself is inherently gendered. ",,እናቷን የበዳች,Ilma haadha sale,,
Gender,,"According to CIR workshop participants, “motherfucker” is used as an aggressive insult often targeting  men or women. The term itself is inherently gendered. ",, እናቱን የበዳ,Haraamuu,,
Gender,,"According to CIR workshop participants, “motherfucker” is used as an aggressive insult often targeting  men or women. The term itself is inherently gendered. ",,,,,
Gender,,"According to CIR workshop participants, these expressions are used to insult, humiliate, and demean by targeting a woman’s body or family, often to provoke shame and exert control.",mother's pussy,የናትህ እምስ,Muxee haadhakee,ናይ ኣዴኻ ምጥሪ,Mute hada
Gender,,"According to CIR workshop participants, these expressions are used to insult, humiliate, and demean by targeting a woman’s body or family, often to provoke shame and exert control.",,የናትሽ እምስ,Fagaara Haadhakee,,
Gender,,"According to CIR workshop participants, these expressions are used to insult, humiliate, and demean by targeting a woman’s body or family, often to provoke shame and exert control.",,,Kushee Harmeekee,,
Gender,,"According to CIR workshop participants, “mousey” describes women as timid or weak, reinforcing stereotypes that women should be passive and non-confrontational.",mousey,ዓይናፋር,Ija laafettii, ሓፋር,
Gender,,"According to CIR workshop participants, “mousey” describes women as timid or weak, reinforcing stereotypes that women should be passive and non-confrontational.",shy,አንገት ደፊ,Qaanfattuu,,
Gender,,"According to CIR workshop participants, “mousey” describes women as timid or weak, reinforcing stereotypes that women should be passive and non-confrontational.",,,Saalfattuu,,
Gender,,"According to CIR workshop participants, “mousey” describes women as timid or weak, reinforcing stereotypes that women should be passive and non-confrontational.",,,Boqu-buusettii,,
Gender,,"According to CIR workshop participants, “mousey” describes women as timid or weak, reinforcing stereotypes that women should be passive and non-confrontational.",,,Luusuu,,
Gender,,"According to CIR workshop participants, “mumsy” is a patronising term that reduces women to maternal or domestic stereotypes, minimising their agency and individuality.",mumsy,ኋላ ቀር,Doofaa,ድሑር,
Gender,,,,,Boodatti haftuu,,
Gender,,"According to CIR workshop participants, calling a woman a “nag” dismisses her requests or advocacy as bothersome, reinforcing the stereotype that women’s voices are disruptive or irritating.",nag,ጨቅጫቃ,Yeelaltuu,ምጭቕጫቕ ,
Gender,,"According to CIR workshop participants, calling a woman a “nag” dismisses her requests or advocacy as bothersome, reinforcing the stereotype that women’s voices are disruptive or irritating.",,,Gonoggontuu,,
Gender,,"According to CIR workshop participants, calling a woman a “nag” dismisses her requests or advocacy as bothersome, reinforcing the stereotype that women’s voices are disruptive or irritating.",,,Nyawistuu,,
Gender,,"According to CIR workshop participants, calling a woman a “nag” dismisses her requests or advocacy as bothersome, reinforcing the stereotype that women’s voices are disruptive or irritating.",,,Alaanaltuu,,
Gender,,"According to CIR workshop participants, calling a woman a “nag” dismisses her requests or advocacy as bothersome, reinforcing the stereotype that women’s voices are disruptive or irritating.",,,Of-nyaattuu,,
Gender,,"According to CIR workshop participants, “naked” is used to sexualise and objectify women, reducing them to their bodies rather than recognising their personhood. It is often found alongside requests for women to ""get naked"", ""send naked photos"", or in comments signalling the image contains nudity.",naked,እርቃን,Soqolattuu,ዕርቃን ምውጻዕ,
Gender,,"According to CIR workshop participants, “naked” is used to sexualise and objectify women, reducing them to their bodies rather than recognising their personhood. It is often found alongside requests for women to ""get naked"", ""send naked photos"", or in comments signalling the image contains nudity.",naked photo,ርቃን,Qullaa,,
Gender,,"According to CIR workshop participants, “naked” is used to sexualise and objectify women, reducing them to their bodies rather than recognising their personhood. It is often found alongside requests for women to ""get naked"", ""send naked photos"", or in comments signalling the image contains nudity.",nakedphoto,ዕርቃን,,,
Gender,,"According to CIR workshop participants, “naked” is used to sexualise and objectify women, reducing them to their bodies rather than recognising their personhood. It is often found alongside requests for women to ""get naked"", ""send naked photos"", or in comments signalling the image contains nudity.",nakedphotos,ራቁት,,,
Gender,,"According to CIR workshop participants, “naked” is used to sexualise and objectify women, reducing them to their bodies rather than recognising their personhood. It is often found alongside requests for women to ""get naked"", ""send naked photos"", or in comments signalling the image contains nudity.",naked women,ራቁት ሴቶች,Dubartii Qullaa,ጥርሐን ዝወጻ አጓላት,
Gender,,"According to CIR workshop participants, “nasty” is used to vilify women who defy social expectations or assert themselves, often framed as morally or personally repulsive.",nasty,ቀፋፊ,Ciiggaasisaa,ቐፋፊ,
Gender,,"According to CIR workshop participants, “nasty” is used to vilify women who defy social expectations or assert themselves, often framed as morally or personally repulsive.",,,Ciiggaasistuu,,
Gender,,"According to CIR workshop participants, “nasty” is used to vilify women who defy social expectations or assert themselves, often framed as morally or personally repulsive.",,,Jibbisiistuu,,
Gender,,"According to CIR workshop participants, “nasty” is used to vilify women who defy social expectations or assert themselves, often framed as morally or personally repulsive.",,,Seexxaa'amtuu,,
Gender,,According to CIR & TikTok workshop participants there is a saying that all Ethiopian women named Betelhem (Bety) are sluts and All Natnael (Naty's)  are womanizers.,Naty,,,,
Gender,,According to CIR & TikTok workshop participants there is a saying that all Ethiopian women named Betelhem (Bety) are sluts and All Natnael (Naty's)  are womanizers.,Nati,,,,
Gender,,According to CIR & TikTok workshop participants there is a saying that all Ethiopian women named Betelhem (Bety) are sluts and All Natnael (Naty's)  are womanizers.,Natnael,,,,
Gender,,"According to CIR workshop participants, calling a woman “needy” infantilises her and frames emotional expression as weakness, undermining autonomy and agency.",needy,ነዝናዛ,Bololtuu,ነዝናዚ,
Gender,,"According to CIR workshop participants, calling a woman “needy” infantilises her and frames emotional expression as weakness, undermining autonomy and agency.",,ጨቅጫቃ,Dheebottuu,,
Gender,,"According to CIR workshop participants, calling a woman “needy” infantilises her and frames emotional expression as weakness, undermining autonomy and agency.",,,Argu-itti-haree,,
Gender,,"According to CIR workshop participants, “neurotic” pathologises normal emotional responses, framing women as mentally unstable to discredit their opinions or actions.",neurotic,የለቀቀች,Xashii,ዝዐበደ,
Gender,,"According to CIR workshop participants, “neurotic” pathologises normal emotional responses, framing women as mentally unstable to discredit their opinions or actions.",,ንክ,Maraatuu,ዝሰሓተ,
Gender,,"According to CIR workshop participants, “neurotic” pathologises normal emotional responses, framing women as mentally unstable to discredit their opinions or actions.",,,Gadhiistuu,,
Gender,,"According to CIR workshop participants, “neurotic” pathologises normal emotional responses, framing women as mentally unstable to discredit their opinions or actions.",,,Irraa Bu'aa,,
Gender,,"According to CIR & TikTok workshop participants, phrases like this are commonly seen online which victim blame.",No one would touch you unless you provoked it,አንቺን ማን ይነካል? የሆነ ነገር ብታደርገው ነው ያጠቃት.,,,
Gender,,"Like the term ""naked"", according to CIR workshop participants, “nudes” is used to sexualise and objectify women, reducing them to their bodies rather than recognising their personhood. It is often found alongside requests for women to ""send nudes"", ""send nude photos"", or in comments signalling the image contains nudity.",nudes,እርቃን,Qullaa,ዕርቃን,
Gender,,"Like the term ""naked"", according to CIR workshop participants, “nudes” is used to sexualise and objectify women, reducing them to their bodies rather than recognising their personhood. It is often found alongside requests for women to ""send nudes"", ""send nude photos"", or in comments signalling the image contains nudity.",nude,,,ጥርሐን ምውጻእ,
Gender,,"Like the term ""naked"", according to CIR workshop participants, “nudes” is used to sexualise and objectify women, reducing them to their bodies rather than recognising their personhood. It is often found alongside requests for women to ""send nudes"", ""send nude photos"", or in comments signalling the image contains nudity.",nudephoto,,,,
Gender,,"According to CIR workshop participants, “nympho” or “nymphomaniac” are misogynistic labels that shame women for sexual desire, portraying them as uncontrollable or morally deviant, reinforcing gendered double standards about sexuality.",nympho,አተራማሽ,Nan hafinii,መተራመሲ,
Gender,,"According to CIR workshop participants, “nympho” or “nymphomaniac” are misogynistic labels that shame women for sexual desire, portraying them as uncontrollable or morally deviant, reinforcing gendered double standards about sexuality.",nymphomanic,ሻፋዳ,Hundaa Laattuu,,
Gender,,"According to CIR workshop participants, “old woman” is used derogatorily to dismiss or devalue women based on age or martial status, reinforcing ageist and sexist norms that de-prioritise older women’s voices and presence. There are many different slurs related to age in Ethiopia, here are some examples. It is also used to signal that a women is beyond her ""fertile years"" which can be used to demean women by signalling that her value in society has diminished. Sometimes the word ""mum"" is used to say old lady. ",old woman,አሮጊት,Dullattii,አረጊት,
Gender,,"According to CIR workshop participants, “old woman” is used derogatorily to dismiss or devalue women based on age or martial status, reinforcing ageist and sexist norms that de-prioritise older women’s voices and presence. There are many different slurs related to age in Ethiopia, here are some examples. It is also used to signal that a women is beyond her ""fertile years"" which can be used to demean women by signalling that her value in society has diminished. Sometimes the word ""mum"" is used to say old lady. ",old maid,እማማ,Jaartii,,
Gender,,"According to CIR workshop participants, “old woman” is used derogatorily to dismiss or devalue women based on age or martial status, reinforcing ageist and sexist norms that de-prioritise older women’s voices and presence. There are many different slurs related to age in Ethiopia, here are some examples. It is also used to signal that a women is beyond her ""fertile years"" which can be used to demean women by signalling that her value in society has diminished. Sometimes the word ""mum"" is used to say old lady. ",You’re too old for TikTok,ሽንትሽ የቀዘቀዘ አሮጊት,Dullattii Fincaanni qorre,አረጊት,
,,"According to CIR workshop participants, “old woman” is used derogatorily to dismiss or devalue women based on age or martial status, reinforcing ageist and sexist norms that de-prioritise older women’s voices and presence. There are many different slurs related to age in Ethiopia, here are some examples. It is also used to signal that a women is beyond her ""fertile years"" which can be used to demean women by signalling that her value in society has diminished. Sometimes the word ""mum"" is used to say old lady. ",Women over 30 are unwanted,ዝሆን,Kan fincaan diilallaa'e,,
Gender,,"According to CIR workshop participants, calling a woman “over-sensitive” minimises her feelings and frames normal emotional responses as irrational, often to undermine her credibility or dismiss concerns.",over-sensitive,ስሜታዊ,Hoo'ituu,ስምዒታዊ,
Gender,,"According to CIR workshop participants, calling a woman “over-sensitive” minimises her feelings and frames normal emotional responses as irrational, often to undermine her credibility or dismiss concerns.",,,Kaafattuu,,
Gender,,"According to CIR workshop participants, “philandering” is applied to men and women to shame or label them as morally lax, highlighting gendered double standards.",philandering,ሴሰኛ,Halalee,ወልፈኛ,
Gender,,"According to CIR workshop participants, “pig” is used to insult people by equating them with filth or uncleanliness, often in ways that are sexualised or deeply demeaning.",pig,አሳማ,Booyyee,ሓሳማ,
Gender,,"According to CIR workshop participants, “pimp” is used to shame individuals by associating them with transactional sexual relationships, reducing their agency and reinforcing sexist stereotypes.",pimp,አቃጣሪ,Hamattuu,አቃጣቢ,
Gender,,"According to CIR workshop participants, “pimp” is used to shame individuals by associating them with transactional sexual relationships, reducing their agency and reinforcing sexist stereotypes.",,,Odulee,,
Gender,,"According to CIR workshop participants, “pimp” is used to shame individuals by associating them with transactional sexual relationships, reducing their agency and reinforcing sexist stereotypes.",,,Deddeebistuu,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs, framing larger bodies as undesirable, unattractive, or less worthy of attention and respect.",plus-size,ግብዳ,Dhoolbee,ገጃፍ,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs, framing larger bodies as undesirable, unattractive, or less worthy of attention and respect.",,ወፍራም,Guddoo,ገጅፍ,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs, framing larger bodies as undesirable, unattractive, or less worthy of attention and respect.",,,Gabbattuu,,
Gender,,"According to CIR workshop participants, “poofter” is a homophobic slur used to demean gay men, but it can also be weaponised against women perceived as gender-nonconforming, reinforcing rigid norms of sexuality and gender.",poofter,ጌይ,Gadhee,ጌይ,
Gender,,"According to CIR workshop participants, “prima donna” labels women as difficult or self-important, often for asserting authority or expressing opinions, while similar behaviour in men is praised or tolerated.",prima donna,ትረኩት ፈላጊ,Of-saadduu,ትኹረት ደላዪ,
Gender,,"According to CIR workshop participants, “prima donna” labels women as difficult or self-important, often for asserting authority or expressing opinions, while similar behaviour in men is praised or tolerated.",,,Of-agarsiistuu,,
Gender,,"According to CIR workshop participants, “princess” diminishes women by framing them as entitled, frivolous, or dependent, reinforcing stereotypes about weakness and needing male protection.",princess,ልዕልት,Giiftii,ልዕልቲ,
Gender,,"According to CIR workshop participants, “promiscuous” is used to shame women for sexual behaviour, reinforcing double standards that judge women harshly for actions praised or ignored in men.",promiscuous,አተራማሽ,Halle-bareettii,ዘዋሪ,
Gender,,"According to CIR workshop participants, “promiscuous” is used to shame women for sexual behaviour, reinforcing double standards that judge women harshly for actions praised or ignored in men.",,,,,
Gender,,"According to CIR workshop participants, “promiscuous” is used to shame women for sexual behaviour, reinforcing double standards that judge women harshly for actions praised or ignored in men.",,,gaalamootaa,,
Gender,,"According to CIR and TikTok workshop participants, “prostitute” and ""whore"" are weaponised to shame women’s sexuality, delegitimise their moral character, and reduce them to sexual objects. These terms shame sexual behaviour and delegitimise agency, targeting women disproportionately but sometimes used to attack men. For example, ???? is used to refer to ""someone that doesn't stay put, has nothing worthy to do, so sleeps around"" etc.",prostitute,ሸርሙጣ,Shallee,ሻርሙጣ,Shele
Gender,,"According to CIR and TikTok workshop participants, “prostitute” and ""whore"" are weaponised to shame women’s sexuality, delegitimise their moral character, and reduce them to sexual objects. These terms shame sexual behaviour and delegitimise agency, targeting women disproportionately but sometimes used to attack men. For example, ???? is used to refer to ""someone that doesn't stay put, has nothing worthy to do, so sleeps around"" etc.",prostitutes,ሴተኛ አዳሪ,sagaagaltuu,ዓጣሪት,sharmuta
Gender,,"According to CIR and TikTok workshop participants, “prostitute” and ""whore"" are weaponised to shame women’s sexuality, delegitimise their moral character, and reduce them to sexual objects. These terms shame sexual behaviour and delegitimise agency, targeting women disproportionately but sometimes used to attack men. For example, ???? is used to refer to ""someone that doesn't stay put, has nothing worthy to do, so sleeps around"" etc.",whore,ጋለሞታ,Sharmuuxaa,ሸሌ,
Gender,,"According to CIR and TikTok workshop participants, “prostitute” and ""whore"" are weaponised to shame women’s sexuality, delegitimise their moral character, and reduce them to sexual objects. These terms shame sexual behaviour and delegitimise agency, targeting women disproportionately but sometimes used to attack men. For example, ???? is used to refer to ""someone that doesn't stay put, has nothing worthy to do, so sleeps around"" etc.",whores,ሸሌ ሴቶች,Shalloota,ዓጠርቲ አጓላት,
Gender,,"According to CIR and TikTok workshop participants, “prostitute” and ""whore"" are weaponised to shame women’s sexuality, delegitimise their moral character, and reduce them to sexual objects. These terms shame sexual behaviour and delegitimise agency, targeting women disproportionately but sometimes used to attack men. For example, ???? is used to refer to ""someone that doesn't stay put, has nothing worthy to do, so sleeps around"" etc.",,ዘልዛለ,Shallee,,
Gender,,"According to CIR and TikTok workshop participants, “prostitute” and ""whore"" are weaponised to shame women’s sexuality, delegitimise their moral character, and reduce them to sexual objects. These terms shame sexual behaviour and delegitimise agency, targeting women disproportionately but sometimes used to attack men. For example, ???? is used to refer to ""someone that doesn't stay put, has nothing worthy to do, so sleeps around"" etc.",,ጋለሞታ,Shasrmuxaa,,
Gender,,"According to CIR workshop participants, “prude” is used to shame women for their sexual modesty, framing normal boundaries or discretion as abnormal or undesirable.",prude,አካብዴ,Qoollifattuu,መልቲ,
Gender,,"According to CIR workshop participants, “prude” is used to shame women for their sexual modesty, framing normal boundaries or discretion as abnormal or undesirable.",,ድንጉጥ,Qirqirfattuu,,
Gender,,"According to CIR workshop participants, “prude” is used to shame women for their sexual modesty, framing normal boundaries or discretion as abnormal or undesirable.",pubes,ጭገር,Saphii,ጭገራም,
Gender,,"According to CIR workshop participants, “prude” is used to shame women for their sexual modesty, framing normal boundaries or discretion as abnormal or undesirable.",pubic hair,,,,
Gender,,"According to CIR workshop participants, “prude” is used to shame women for their sexual modesty, framing normal boundaries or discretion as abnormal or undesirable.",puppy,ኩርኩር,,,Kurkur
Gender,,"According to CIR workshop participants, “prude” is used to shame women for their sexual modesty, framing normal boundaries or discretion as abnormal or undesirable.",puppies,ሓድጊ,,hadgi,kurkurat
Gender,,"According to CIR workshop participants, “pussy” is a misogynistic term that reduces women to their genitals, often to demean, intimidate, or sexualise them, reinforcing the idea that women exist primarily for male use or judgment.",pussy,እምስ,Kosoo,ምጥሪ,
Gender,,"According to CIR workshop participants, “pussy” is a misogynistic term that reduces women to their genitals, often to demean, intimidate, or sexualise them, reinforcing the idea that women exist primarily for male use or judgment.",,,Kushee,,
Gender,,"According to CIR workshop participants, “pussy” is a misogynistic term that reduces women to their genitals, often to demean, intimidate, or sexualise them, reinforcing the idea that women exist primarily for male use or judgment.",,,Buqushaa,,
Gender,,"According to CIR workshop participants, “pussy” is a misogynistic term that reduces women to their genitals, often to demean, intimidate, or sexualise them, reinforcing the idea that women exist primarily for male use or judgment.",,,Muxxee,,
Gender,,"According to CIR workshop participants, “pussy” is a misogynistic term that reduces women to their genitals, often to demean, intimidate, or sexualise them, reinforcing the idea that women exist primarily for male use or judgment.",,,Bexee,,
Gender,,"According to CIR workshop participants, although this term directly translates to 'a woman's child' and refers to kids being raised by single mothers, contextually it means 'weak', 'coward' or 'rude'. The term is used as an insult, regardless of whether a person is raised by both parents or not. It is derogatory and misogynistic, suggesting that people who are not raised well must have lacked male leadership. During the CIR & TikTok workshop, this was explored further. It revealed that the absence of fathers, or being raised by single mothers are explicitly used to challenge a person’s masculinity or to imply that someone is socially inferior. For example, ""Seta set"" when said to men means they aren't masculine enough.",raised by a woman,የሴት ልጅ,Ilmoo Dubartii,ወዲ ሰበይቲ,Set yasadegew
Gender,,"According to CIR workshop participants, although this term directly translates to 'a woman's child' and refers to kids being raised by single mothers, contextually it means 'weak', 'coward' or 'rude'. The term is used as an insult, regardless of whether a person is raised by both parents or not. It is derogatory and misogynistic, suggesting that people who are not raised well must have lacked male leadership. During the CIR & TikTok workshop, this was explored further. It revealed that the absence of fathers, or being raised by single mothers are explicitly used to challenge a person’s masculinity or to imply that someone is socially inferior. For example, ""Seta set"" when said to men means they aren't masculine enough.",woman’s child,,Ilma nadheenii,ጓል ሰበይቲ,Seta set
Gender,,"According to CIR workshop participants, although this term directly translates to 'a woman's child' and refers to kids being raised by single mothers, contextually it means 'weak', 'coward' or 'rude'. The term is used as an insult, regardless of whether a person is raised by both parents or not. It is derogatory and misogynistic, suggesting that people who are not raised well must have lacked male leadership. During the CIR & TikTok workshop, this was explored further. It revealed that the absence of fathers, or being raised by single mothers are explicitly used to challenge a person’s masculinity or to imply that someone is socially inferior. For example, ""Seta set"" when said to men means they aren't masculine enough.",raised by a single mother,ሴት ያሳደገው,ilma dubartii,ጓል ሰበይቲ,
Gender,,"According to CIR workshop participants, although this term directly translates to 'a woman's child' and refers to kids being raised by single mothers, contextually it means 'weak', 'coward' or 'rude'. The term is used as an insult, regardless of whether a person is raised by both parents or not. It is derogatory and misogynistic, suggesting that people who are not raised well must have lacked male leadership. During the CIR & TikTok workshop, this was explored further. It revealed that the absence of fathers, or being raised by single mothers are explicitly used to challenge a person’s masculinity or to imply that someone is socially inferior. For example, ""Seta set"" when said to men means they aren't masculine enough.",single mother,,Durba,,
Gender,,"According to CIR workshop participants, although this term directly translates to 'a woman's child' and refers to kids being raised by single mothers, contextually it means 'weak', 'coward' or 'rude'. The term is used as an insult, regardless of whether a person is raised by both parents or not. It is derogatory and misogynistic, suggesting that people who are not raised well must have lacked male leadership. During the CIR & TikTok workshop, this was explored further. It revealed that the absence of fathers, or being raised by single mothers are explicitly used to challenge a person’s masculinity or to imply that someone is socially inferior. For example, ""Seta set"" when said to men means they aren't masculine enough.",you aren't man enough,,Mucayyoo,,
Gender,,"According to CIR workshop participants, although this term directly translates to 'a woman's child' and refers to kids being raised by single mothers, contextually it means 'weak', 'coward' or 'rude'. The term is used as an insult, regardless of whether a person is raised by both parents or not. It is derogatory and misogynistic, suggesting that people who are not raised well must have lacked male leadership. During the CIR & TikTok workshop, this was explored further. It revealed that the absence of fathers, or being raised by single mothers are explicitly used to challenge a person’s masculinity or to imply that someone is socially inferior. For example, ""Seta set"" when said to men means they aren't masculine enough.",you aren't masculine,,mucattii,,
Gender,,"According to CIR workshop participants, although this term directly translates to 'a woman's child' and refers to kids being raised by single mothers, contextually it means 'weak', 'coward' or 'rude'. The term is used as an insult, regardless of whether a person is raised by both parents or not. It is derogatory and misogynistic, suggesting that people who are not raised well must have lacked male leadership. During the CIR & TikTok workshop, this was explored further. It revealed that the absence of fathers, or being raised by single mothers are explicitly used to challenge a person’s masculinity or to imply that someone is socially inferior. For example, ""Seta set"" when said to men means they aren't masculine enough.",fatherless,,Hintaloo,,
Gender,,"According to CIR workshop participants, although this term directly translates to 'a woman's child' and refers to kids being raised by single mothers, contextually it means 'weak', 'coward' or 'rude'. The term is used as an insult, regardless of whether a person is raised by both parents or not. It is derogatory and misogynistic, suggesting that people who are not raised well must have lacked male leadership. During the CIR & TikTok workshop, this was explored further. It revealed that the absence of fathers, or being raised by single mothers are explicitly used to challenge a person’s masculinity or to imply that someone is socially inferior. For example, ""Seta set"" when said to men means they aren't masculine enough.",the bitch child,,Guddisa Dubartii,,
