hate_category_1,hate_category_2,explanation,english,amharic,afaan_oromo,tigregna,otherspellings,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, the term “frigid” is used to insult women seen as lacking sexual desire or unwilling to engage in sex. It is misogynistic because it shames women for not meeting male expectations of sexual availability, framing autonomy as a flaw. The term also exposes a double standard — women are expected to be sexually pure yet are criticised if not sexually responsive — reinforcing the idea that women’s sexuality exists for male approval rather than personal choice.",,,Cabbooftuu,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, the term “frigid” is used to insult women seen as lacking sexual desire or unwilling to engage in sex. It is misogynistic because it shames women for not meeting male expectations of sexual availability, framing autonomy as a flaw. The term also exposes a double standard — women are expected to be sexually pure yet are criticised if not sexually responsive — reinforcing the idea that women’s sexuality exists for male approval rather than personal choice.",,,Dullattii,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, the term “frigid” is used to insult women seen as lacking sexual desire or unwilling to engage in sex. It is misogynistic because it shames women for not meeting male expectations of sexual availability, framing autonomy as a flaw. The term also exposes a double standard — women are expected to be sexually pure yet are criticised if not sexually responsive — reinforcing the idea that women’s sexuality exists for male approval rather than personal choice.",,,daagii,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, the term “frigid” is used to insult women seen as lacking sexual desire or unwilling to engage in sex. It is misogynistic because it shames women for not meeting male expectations of sexual availability, framing autonomy as a flaw. The term also exposes a double standard — women are expected to be sexually pure yet are criticised if not sexually responsive — reinforcing the idea that women’s sexuality exists for male approval rather than personal choice.",,,,,,,,,,,,,,,,,,,,,,,,,
Gender,,Slang for unstylish.,frumpy,??,Doofaa,??,,,,,,,,,,,,,,,,,,,,,
Gender,,Slang for unstylish.,,,Gowwaa,,,,,,,,,,,,,,,,,,,,,,
Gender,,Slang for unstylish.,,,Faaraa,,,,,,,,,,,,,,,,,,,,,,
Gender,,Slang for very ugly.,fugly,???,Fokkistuu,????,,,,,,,,,,,,,,,,,,,,,
Gender,,Slang for very ugly.,,,Bushooftuu,???,,,,,,,,,,,,,,,,,,,,,
Gender,,Slang for very ugly.,,,Godeettii,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, this term is used dismissively to portray women as immature, unserious, or unintelligent. This term trivialises women’s emotions and contributions, especially in professional or political spaces.",giggly,????,kolfituu,????,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, this term is used dismissively to portray women as immature, unserious, or unintelligent. This term trivialises women’s emotions and contributions, especially in professional or political spaces.",,,Kaakkiftuu,??? ???,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, this term is used dismissively to portray women as immature, unserious, or unintelligent. This term trivialises women’s emotions and contributions, especially in professional or political spaces.",girl ,??????,Luuxii,??,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, this term is used dismissively to portray women as immature, unserious, or unintelligent. This term trivialises women’s emotions and contributions, especially in professional or political spaces.",,,Bukkee,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, using “girl” or “girl scout” to describe adult women can be patronising and infantilising. It suggests women lack authority or competence, reducing them to childlike figures rather than equals.",girl scout,?? ???,Sanyoo,,?? ??*,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, this phrase is used to belittle women by implying their role belongs in domestic work rather than public or professional spaces. It reinforces patriarchal ideas that seek to silence and control women’s independence.",go back to the kitchen,?? ?? ??,Dubartiin gara golaatti,?? ??? ????,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, this term is used to accuse women of pursuing men for financial gain. It punishes women for seeking stability or ambition, framing economic independence as deceitful or immoral.",gold digger ,????,Ayyaanlaallattuu,????,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, this term is used to accuse women of pursuing men for financial gain. It punishes women for seeking stability or ambition, framing economic independence as deceitful or immoral.",gold_d1gger,???? ??? ??,Adamsituu,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, this term is used to accuse women of pursuing men for financial gain. It punishes women for seeking stability or ambition, framing economic independence as deceitful or immoral.",greying,????,harrooftuu,????,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, describing women as “gutsy” can carry a patronising undertone — implying courage or assertiveness is unexpected or unusual in women, reinforcing gender stereotypes about passivity.",gutsy,??? ???,Nyaara Haadattee,???,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, describing women as “gutsy” can carry a patronising undertone — implying courage or assertiveness is unexpected or unusual in women, reinforcing gender stereotypes about passivity.",,,Ceera fixattuu,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, describing women as “gutsy” can carry a patronising undertone — implying courage or assertiveness is unexpected or unusual in women, reinforcing gender stereotypes about passivity.",,,Hinsaalfanne,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, describing women as “gutsy” can carry a patronising undertone — implying courage or assertiveness is unexpected or unusual in women, reinforcing gender stereotypes about passivity.",,??? ???,Ija-jabeetti,???,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, describing women as “gutsy” can carry a patronising undertone — implying courage or assertiveness is unexpected or unusual in women, reinforcing gender stereotypes about passivity.",,,Ija-hinfuunee,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, this term targets older women, ridiculing them for aging and implying loss of worth once youth and beauty fade. It reflects both sexism and ageism rooted in the devaluation of women’s bodies.",hag ,????,Caattoo,????,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, this term targets older women, ridiculing them for aging and implying loss of worth once youth and beauty fade. It reflects both sexism and ageism rooted in the devaluation of women’s bodies.",,?????,Bulguu,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, the term “homemaker” can confine women to domestic roles, reinforcing traditional expectations that their primary value lies in caregiving rather than public or professional contribution.",homemaker,?? ??,Soortuu,???? ??,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, the term “homemaker” can confine women to domestic roles, reinforcing traditional expectations that their primary value lies in caregiving rather than public or professional contribution.",,,Haadha Qe'ee,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, the term “homemaker” can confine women to domestic roles, reinforcing traditional expectations that their primary value lies in caregiving rather than public or professional contribution.",,,haadha Jaatanii,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, this term is used almost exclusively against women, blaming them for the breakdown of relationships or infidelity. It reflects gendered double standards that hold women, not men, responsible for moral failings.",homewrecker,?? ????,Gaa'ela-diigduu,??? ???,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, this term is used almost exclusively against women, blaming them for the breakdown of relationships or infidelity. It reflects gendered double standards that hold women, not men, responsible for moral failings.",,,Diigduu Bultii,????,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, this term is sometimes used as an insult or to stigmatise LGBTQ+ people. Its misuse reflects broader prejudices that conflate sexuality with moral or social deviance, often reinforcing gender-based discrimination.",homosexual,????? ,Leesbiyaanii,?????,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, this term is sometimes used as an insult or to stigmatise LGBTQ+ people. Its misuse reflects broader prejudices that conflate sexuality with moral or social deviance, often reinforcing gender-based discrimination.",gay,??,luuxii ,??,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, this term is sometimes used as an insult or to stigmatise LGBTQ+ people. Its misuse reflects broader prejudices that conflate sexuality with moral or social deviance, often reinforcing gender-based discrimination.",lesbian,??? ???,Geeyi,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, this term is sometimes used as an insult or to stigmatise LGBTQ+ people. Its misuse reflects broader prejudices that conflate sexuality with moral or social deviance, often reinforcing gender-based discrimination.",,??,Gadhee,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, this term is sometimes used as an insult or to stigmatise LGBTQ+ people. Its misuse reflects broader prejudices that conflate sexuality with moral or social deviance, often reinforcing gender-based discrimination.",,,Haraamuu,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, this term degrades women associated with or perceived as engaging in sex work. It reinforces sexual double standards and seeks to shame women for exercising bodily or economic autonomy.",hooker,????,Sharmuuxaa,????,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, this term degrades women associated with or perceived as engaging in sex work. It reinforces sexual double standards and seeks to shame women for exercising bodily or economic autonomy.",,,Shallee,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, this term degrades women associated with or perceived as engaging in sex work. It reinforces sexual double standards and seeks to shame women for exercising bodily or economic autonomy.",,,Sagaagaltuu,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, this term degrades women associated with or perceived as engaging in sex work. It reinforces sexual double standards and seeks to shame women for exercising bodily or economic autonomy.",,,Ejjituu,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, calling women “hormonal” is a way to dismiss or invalidate their feelings and decisions. It relies on sexist stereotypes that portray women as irrational or emotionally unstable.",hormonal ,?????,Halalee,?????,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, calling women “hormonal” is a way to dismiss or invalidate their feelings and decisions. It relies on sexist stereotypes that portray women as irrational or emotionally unstable.",,,Afuura ejjaa,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR & TikTok workshop participants, these words are more offensive in the Amharic than the English.",horny,???? ,kaafattuu,,horney,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR & TikTok workshop participants, these words are more offensive in the Amharic than the English.",lustful,?????,,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR & TikTok workshop participants, these words are more offensive in the Amharic than the English.",frisky ,???,,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR & TikTok workshop participants, these words are more offensive in the Amharic than the English.",aroused,?????,,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR & TikTok workshop participants, these words are more offensive in the Amharic than the English.",randy,,,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, these insults mock women’s physical appearance, particularly facial features, as a way to degrade them. They reflect a culture where women’s value is policed through beauty standards and body shaming.",horse,???,Farda,???,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, these insults mock women’s physical appearance, particularly facial features, as a way to degrade them. They reflect a culture where women’s value is policed through beauty standards and body shaming.",horse face,??? ??,Fuula Fardaa,??? ??,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, these insults mock women’s physical appearance, particularly facial features, as a way to degrade them. They reflect a culture where women’s value is policed through beauty standards and body shaming.",mare ,,Fardee,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, calling a woman “hot” can be objectifying when used to evaluate her primarily by her appearance. It reinforces the idea that women’s social worth depends on sexual attractiveness rather than their skills or character.",hot,????,Bololsituu,????,hottie,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, calling a woman “hot” can be objectifying when used to evaluate her primarily by her appearance. It reinforces the idea that women’s social worth depends on sexual attractiveness rather than their skills or character.",,,Hallattuu,,hotty,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, calling a woman “hot” can be objectifying when used to evaluate her primarily by her appearance. It reinforces the idea that women’s social worth depends on sexual attractiveness rather than their skills or character.",,,Eege-raaftuu,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, calling a woman “hot” can be objectifying when used to evaluate her primarily by her appearance. It reinforces the idea that women’s social worth depends on sexual attractiveness rather than their skills or character.",,,Gaansituu,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, calling a woman “hot” can be objectifying when used to evaluate her primarily by her appearance. It reinforces the idea that women’s social worth depends on sexual attractiveness rather than their skills or character.",,,Hawwattuu,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, calling a woman “hot” can be objectifying when used to evaluate her primarily by her appearance. It reinforces the idea that women’s social worth depends on sexual attractiveness rather than their skills or character.",,????,Miiroftuu,????,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, calling a woman “hot” can be objectifying when used to evaluate her primarily by her appearance. It reinforces the idea that women’s social worth depends on sexual attractiveness rather than their skills or character.",,,Hoo'ituu,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, calling a woman “hot” can be objectifying when used to evaluate her primarily by her appearance. It reinforces the idea that women’s social worth depends on sexual attractiveness rather than their skills or character.",,,Abiddee,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, “housewife” is often deployed to reduce a woman’s identity to domestic labour, implying that her role and value belong solely in the home and not in public, professional, or leadership spaces.",housewife,??? ????,Haadha Qe'ee,?? ?? ????,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, “housewife” is often deployed to reduce a woman’s identity to domestic labour, implying that her role and value belong solely in the home and not in public, professional, or leadership spaces.",,,Haadha Warraa,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, “housewife” is often deployed to reduce a woman’s identity to domestic labour, implying that her role and value belong solely in the home and not in public, professional, or leadership spaces.",,,Haadha Manaa,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, “housewife” is often deployed to reduce a woman’s identity to domestic labour, implying that her role and value belong solely in the home and not in public, professional, or leadership spaces.",,,Jaartii,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, “housewife” is often deployed to reduce a woman’s identity to domestic labour, implying that her role and value belong solely in the home and not in public, professional, or leadership spaces.",,,Haadha Bultii,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, “hussy” is a pejorative used to shame women for perceived sexual impropriety, portraying them as morally loose and deserving of public scorn.",hussy ,???,Hundaaf Soqolattuu,?????,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, “hussy” is a pejorative used to shame women for perceived sexual impropriety, portraying them as morally loose and deserving of public scorn.",,?????,Hundaaf eege-raaftuu,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, “hussy” is a pejorative used to shame women for perceived sexual impropriety, portraying them as morally loose and deserving of public scorn.",,,Barristuu,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, “hussy” is a pejorative used to shame women for perceived sexual impropriety, portraying them as morally loose and deserving of public scorn.",,,waa-nangeenyee,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, “hussy” is a pejorative used to shame women for perceived sexual impropriety, portraying them as morally loose and deserving of public scorn.",,,Hundaaf hirtuu,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, calling a woman “hysterical” dismisses legitimate emotion or critique by pathologising her responses, reinforcing sexist stereotypes that women are irrational or emotionally unstable.",hysterical ,????,Maraattuu,?????,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, calling a woman “hysterical” dismisses legitimate emotion or critique by pathologising her responses, reinforcing sexist stereotypes that women are irrational or emotionally unstable.",,???,Girgiree,???,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, calling a woman “hysterical” dismisses legitimate emotion or critique by pathologising her responses, reinforcing sexist stereotypes that women are irrational or emotionally unstable.",,???,Abiddee,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, calling a woman “hysterical” dismisses legitimate emotion or critique by pathologising her responses, reinforcing sexist stereotypes that women are irrational or emotionally unstable.",,,kaafattuu,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, calling a woman “hysterical” dismisses legitimate emotion or critique by pathologising her responses, reinforcing sexist stereotypes that women are irrational or emotionally unstable.",,,Biliqistuu,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR & TikTok Workshop participants, phrases like these are used to suggest women should forgive their husband for physical or sexual abuse, or unfaithfullness. ","If she loved him, she’d forgive him",?????? ???? ?????,,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR & TikTok Workshop participants, phrases like these are used to suggest women should forgive their husband for physical or sexual abuse, or unfaithfullness. ","If she loves him, she’ll forgive him",,,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR & TikTok Workshop participants, ""it's discipline"" is often said within misogynistic messages which exonerate abusers, noting that women should be disciplined. ",it's discipline,?? ???? ??,,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR & TikTok Workshop participants, ""it's discipline"" is often said within misogynistic messages which exonerate abusers, noting that women should be disciplined. ","it's not a crime, it's discipline",???? ?????? ???? ??,,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR & TikTok Workshop participants, ""it's discipline"" is often said within misogynistic messages which exonerate abusers, noting that women should be disciplined. ",It’s okay to abuse women if they cross the line.,???? ???? ?????,,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR & TikTok Workshop participants, ""it's discipline"" is often said within misogynistic messages which exonerate abusers, noting that women should be disciplined. ","If women cross the line, it’s okay to abuse them physically, verbally, or sexually.",??? ???? ??? ????????????????? ??? ??????,,,,,,,,,,,,,,,,,,,,,,,
,,"According to CIR & TikTok Workshop participants, ""it's discipline"" is often said within misogynistic messages which exonerate abusers, noting that women should be disciplined. ","they are the HELP, it's okay to abuse them",???? ???? ??? ???? ??,,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR & TikTok Workshop participants, ""it's discipline"" is often said within misogynistic messages which exonerate abusers, noting that women should be disciplined. ","they are the HELP, it's okay to abuse them",?????,,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, explicit threats represent extreme forms of gendered intimidation intended to terrorise, silence and control women.",I will throw acid on you,??? ????????,Akkan Asiidii sitti hin naqne,??? ???????,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, explicit threats represent extreme forms of gendered intimidation intended to terrorise, silence and control women.",I’ll rape you,???????,,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, explicit threats represent extreme forms of gendered intimidation intended to terrorise, silence and control women.",I will show your picture,???? ?????,,,,,,,,,,,,,,,,,,,,,,,
,,"According to CIR workshop participants, explicit threats represent extreme forms of gendered intimidation intended to terrorise, silence and control women.",shutupthebitch,??,,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, explicit threats represent extreme forms of gendered intimidation intended to terrorise, silence and control women.",shutupthebitch,?? ?? ??,,,,,,,,,,,,,,,,,,,,,,,
,,"According to CIR workshop participants, explicit threats represent extreme forms of gendered intimidation intended to terrorise, silence and control women.",expose her,?????,,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, explicit threats represent extreme forms of gendered intimidation intended to terrorise, silence and control women.",killher,????,,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, explicit threats represent extreme forms of gendered intimidation intended to terrorise, silence and control women.",shutherup,?? ?????? ???,,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, explicit threats represent extreme forms of gendered intimidation intended to terrorise, silence and control women.",I will kill you,??????,,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, explicit threats represent extreme forms of gendered intimidation intended to terrorise, silence and control women.",I will humiliate you,???????,,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, “ice queen” is used to label women as cold, unfeeling or unfeminine when they assert boundaries or leadership, weaponising emotional coldness to undermine their credibility.",ice queen,????,Diilallooftuu,???? ??? ?? ????,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, “ice queen” is used to label women as cold, unfeeling or unfeminine when they assert boundaries or leadership, weaponising emotional coldness to undermine their credibility.",,????,Cabbooftuu,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, “ice queen” is used to label women as cold, unfeeling or unfeminine when they assert boundaries or leadership, weaponising emotional coldness to undermine their credibility.",,,Goggodduu,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, “ice queen” is used to label women as cold, unfeeling or unfeminine when they assert boundaries or leadership, weaponising emotional coldness to undermine their credibility.",,,Dhiilbee,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, “ice queen” is used to label women as cold, unfeeling or unfeminine when they assert boundaries or leadership, weaponising emotional coldness to undermine their credibility.",,,Daagii,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR & TikTok workshop participants, women who don't have children are often criticised for having 'defects', like being infertile, or are referred to as a ""mule"" which is rude slang for childless.",infertile ,???,,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR & TikTok workshop participants, women who don't have children are often criticised for having 'defects', like being infertile, or are referred to as a ""mule"" which is rude slang for childless.",mule,???,,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR & TikTok workshop participants, women who don't have children are often criticised for having 'defects', like being infertile, or are referred to as a ""mule"" which is rude slang for childless.","women were created for reproduction, that is there only role",,,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, describing women as “irrational” is a tactic to discredit their judgments and decisions, reinforcing the stereotype that women cannot be trusted to reason objectively.",irrational,?-??????,Bishaan,?????? ????,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, describing women as “irrational” is a tactic to discredit their judgments and decisions, reinforcing the stereotype that women cannot be trusted to reason objectively.",,????? ???,Gabateerraa,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, describing women as “irrational” is a tactic to discredit their judgments and decisions, reinforcing the stereotype that women cannot be trusted to reason objectively.",,???????,Hoolaa,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, referencing the “kitchen” (e.g. “go to the kitchen”) serves as shorthand for confining women to domestic roles and excluding them from public, professional, or political participation. It is often used alongside misogynistic slurs.",kitchen,???,Gola,???,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, referencing the “kitchen” (e.g. “go to the kitchen”) serves as shorthand for confining women to domestic roles and excluding them from public, professional, or political participation. It is often used alongside misogynistic slurs.",,,Abidda Bira,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, referencing the “kitchen” (e.g. “go to the kitchen”) serves as shorthand for confining women to domestic roles and excluding them from public, professional, or political participation. It is often used alongside misogynistic slurs.",,,Goorroo oli,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, referencing the “kitchen” (e.g. “go to the kitchen”) serves as shorthand for confining women to domestic roles and excluding them from public, professional, or political participation. It is often used alongside misogynistic slurs.",,,Lafa Abiddaa,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, “ladyboy” is often used derogatorily to belittle or stigmatise gender non-conforming people, conflating gender identity with mockery and reinforcing transphobic and misogynistic attitudes. It is particularly dangerous in Ethiopia as LGBTQI+ identifies are demonised.",ladyboy,????,Dhiira akka nadheenii,?????,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, “ladyboy” is often used derogatorily to belittle or stigmatise gender non-conforming people, conflating gender identity with mockery and reinforcing transphobic and misogynistic attitudes. It is particularly dangerous in Ethiopia as LGBTQI+ identifies are demonised.",,,Shuushataa,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, “ladyboy” is often used derogatorily to belittle or stigmatise gender non-conforming people, conflating gender identity with mockery and reinforcing transphobic and misogynistic attitudes. It is particularly dangerous in Ethiopia as LGBTQI+ identifies are demonised.",, ???? ??,dhiiraa fi dhalaa,??? ??,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, “ladyboy” is often used derogatorily to belittle or stigmatise gender non-conforming people, conflating gender identity with mockery and reinforcing transphobic and misogynistic attitudes. It is particularly dangerous in Ethiopia as LGBTQI+ identifies are demonised.",,,Sanga-raadaa,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, “ladylike” is a term used to demean men andboys who are considered too feminine, punishing those who do not conform to prescribed, often restrictive, gender roles.",ladylike,?? ???,Dhiira akka Nadhoo,???? ???,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, “ladylike” is a term used to demean men andboys who are considered too feminine, punishing those who do not conform to prescribed, often restrictive, gender roles.",,,Dhiira akka Dhalaa,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, “ladylike” is a term used to demean men andboys who are considered too feminine, punishing those who do not conform to prescribed, often restrictive, gender roles.",lesbian,?????,,?? ???? ???,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, saying a woman has “let herself go” shames ageing or changes in appearance, policing women’s bodies and equating worth with youthful attractiveness.",let herself go,??? ??????,Firfirsituu,??? ????,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, saying a woman has “let herself go” shames ageing or changes in appearance, policing women’s bodies and equating worth with youthful attractiveness.",,,Arjaa,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, saying a woman has “let herself go” shames ageing or changes in appearance, policing women’s bodies and equating worth with youthful attractiveness.",,,Owwaattuu,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, saying a woman has “let herself go” shames ageing or changes in appearance, policing women’s bodies and equating worth with youthful attractiveness.",,,Hundaaf Laattuu,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, saying a woman has “let herself go” shames ageing or changes in appearance, policing women’s bodies and equating worth with youthful attractiveness.",,,Argu-ittiharee,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR & TikTok workshop participants, women's rights activists are often labelled as part of a ""LGBT agenda"" to diminish their voices and stigmatise them. This is harmful for both women's rights activists but also the LGBT community. ",LGBT agenda,?????? ???? ,,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR & TikTok workshop participants, women's rights activists are often labelled as part of a ""LGBT agenda"" to diminish their voices and stigmatise them. This is harmful for both women's rights activists but also the LGBT community. ",666 agenda,?666 ????,,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR & TikTok workshop participants, women's rights activists are often labelled as part of a ""LGBT agenda"" to diminish their voices and stigmatise them. This is harmful for both women's rights activists but also the LGBT community. ",Gay agenda,?? ????,,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR & TikTok workshop participants, women's rights activists are often labelled as part of a ""LGBT agenda"" to diminish their voices and stigmatise them. This is harmful for both women's rights activists but also the LGBT community. ",LGBTQI+ agenda,??????? ??? ????,,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, calling a woman “lippy” (impertinent or mouthy) is a dismissive way to silence challenge or critique, framing assertiveness as rude rather than legitimate.",open mouth,??? ??,odeessituu,???,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, calling a woman “lippy” (impertinent or mouthy) is a dismissive way to silence challenge or critique, framing assertiveness as rude rather than legitimate.",talkative,????,haadha oduu,????,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, calling a woman “lippy” (impertinent or mouthy) is a dismissive way to silence challenge or critique, framing assertiveness as rude rather than legitimate.",lippy,,Afaan bantuu,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, calling a woman “lippy” (impertinent or mouthy) is a dismissive way to silence challenge or critique, framing assertiveness as rude rather than legitimate.",,,Feettii,,,,,,,,,,,,,,,,,,,,,,
